epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,68.9296,0.71411,0.99607,1.10545,0.98128,1,0.99422,0.87122,0.53045,0.59211,0.97732,0.000636762,0.000636762,0.000636762
30,71.0189,0.67318,0.89323,1.05304,0.9822,1,0.99328,0.87346,0.52193,0.58154,0.96576,0.000608468,0.000608468,0.000608468
31,73.1293,0.67387,0.92677,1.0493,0.9809,0.99756,0.99394,0.88427,0.49799,0.54383,0.93713,0.000580174,0.000580174,0.000580174
32,75.2151,0.70118,0.94826,1.07046,0.98993,0.99025,0.99304,0.88044,0.49086,0.53553,0.93498,0.00055188,0.00055188,0.00055188
33,77.3037,0.64292,0.86735,1.02884,0.98251,0.99533,0.99368,0.8856,0.48232,0.55594,0.93062,0.000523586,0.000523586,0.000523586
34,79.39,0.60691,0.88523,1.03708,0.9877,0.98,0.99381,0.88759,0.47611,0.56315,0.92886,0.000495291,0.000495291,0.000495291
35,81.4742,0.63418,0.868,1.04685,0.99512,0.97939,0.99435,0.88695,0.46541,0.55115,0.92027,0.000466997,0.000466997,0.000466997
36,83.5385,0.58888,0.8346,0.97523,0.98309,0.99325,0.99448,0.89156,0.46593,0.5336,0.91775,0.000438703,0.000438703,0.000438703
37,85.6142,0.60521,0.82367,1.04588,0.99078,0.98946,0.99474,0.89908,0.44193,0.50019,0.90161,0.000410409,0.000410409,0.000410409
38,87.6813,0.57934,0.7757,1.02173,0.99048,1,0.99461,0.9096,0.43686,0.47922,0.90158,0.000382115,0.000382115,0.000382115
39,89.7526,0.57853,0.77995,1.0324,0.9903,1,0.99448,0.91184,0.42697,0.46567,0.89636,0.00035382,0.00035382,0.00035382
40,91.8186,0.57775,0.7975,1.02374,0.99016,1,0.99487,0.91839,0.4162,0.45543,0.89385,0.000325526,0.000325526,0.000325526
41,110.622,0.45516,0.8434,0.93992,0.99762,1,0.995,0.91979,0.42355,0.48219,0.88755,0.000297232,0.000297232,0.000297232
42,112.67,0.45878,0.87891,0.92893,0.99193,1,0.995,0.92176,0.4081,0.5388,0.87705,0.000268938,0.000268938,0.000268938
43,114.742,0.47736,0.902,0.96273,0.99711,0.99885,0.995,0.92151,0.401,0.47928,0.87549,0.000240644,0.000240644,0.000240644
44,116.775,0.45292,0.783,0.9208,0.99274,1,0.995,0.9228,0.40009,0.4518,0.87262,0.000212349,0.000212349,0.000212349
45,118.833,0.42651,0.76206,0.91133,0.99119,1,0.99461,0.91963,0.38774,0.44261,0.86768,0.000184055,0.000184055,0.000184055
46,120.875,0.43957,0.76434,0.92961,0.99461,1,0.995,0.92352,0.38865,0.45141,0.86721,0.000155761,0.000155761,0.000155761
47,122.954,0.44899,0.74493,0.93387,0.99685,1,0.995,0.92222,0.38142,0.44133,0.86141,0.000127467,0.000127467,0.000127467
48,124.983,0.41489,0.74723,0.91746,0.99773,1,0.995,0.92718,0.37557,0.43115,0.85826,9.91726e-05,9.91726e-05,9.91726e-05
49,127.043,0.4301,0.72704,0.88752,0.99776,1,0.995,0.92809,0.36116,0.41312,0.8532,7.08784e-05,7.08784e-05,7.08784e-05
50,129.077,0.39102,0.7203,0.88482,0.99801,1,0.995,0.93485,0.3554,0.40639,0.85129,4.25842e-05,4.25842e-05,4.25842e-05
